<<<<<<< HEAD
BATCH,Cpp,Cuda,Triton
2.0,0.0,26.2,0.0
4.0,0.1,52.7,0.0
8.0,0.2,105.4,0.1
16.0,0.4,210.8,0.2
=======
N_CTX,Standard,Triton,Flash
128.0,0.1,0.0,0.1
256.0,0.3,0.1,0.2
512.0,1.2,0.2,0.4
>>>>>>> refs/remotes/origin/master
